FID,OCEAN_REGION,COUNTRY,LOCATION,SITE_NAME,LATITUDE,LONGITUDE,DAY,MONTH,YEAR,MONTHS_SINCE_PEAK,MAX_DEPTH_m,DEPTH_RAW,SEVERITY_CODE,%_BLEACHED,%_BLEACHED_RAW,MORTALITY_CODE,%_MORTALITY,%_MORTALITY_RAW,SURVEY_TYPE,OTHER_DRIVERS,SOURCE,CITATION,COMMENTS,DATABASE_CODE,INTERNAL DATA -->,ENTRY_CODE,MAP_CODE,LAT_CORRECTED,LON_CORRECTED,LAND,QC_CODE,CRW DATA -->,CRW_ID,CRW REGION,CRW REG VIRTUAL STATION NAME,CRW REG VIRTUAL STATION #,MIDPOINT_OF_BLEACH_RANGE_%,MIDPOINT_OF_MORT_RANGE_%,CRW MORTALITY TIME ADJUST,CRW OBS TIMING,CRW DHW TO USE,CRW DAILY DHW,CRW ANNUAL MAX DHW,CRW DHW OFFSET,QA CODE,CRW ANN MAX DHW 2014,CRW ANN MAX DHW 2015,CRW ANN MAX DHW 2016,CRW ANN MAX DHW 2017,DATETIME,DHW,MAX_DHW,DATE_MAX_DHW,DAYS_FROM_MAX_DHW,MAX_ANNUAL_DHW,DATE_OF_MAX_DHW,IS_BEST_REPORT,spatial_cluster
6027,Caribbean,U.S. Virgin Islands,Saint John,Fish Bay,18.31417,-64.76408,9,12,2004,,6,6m,Moderate,0.2166666666666667,0.2166666666666667,-1,,,intercept,,US Virgin Islands Territorial Coral Reef Monitoring Program via Tyler Smith (tsmith@uvi.edu),,"Bleaching represents proportion of colonies bleached or pale; mortality represents proportion of colonies recently killed; Species affected: Siderastrea siderea, Montastraea cavernosa, Porites astreoides, Agaricia agaricites, Porites porites, Orbicella faveolata, Orbicella annularis, Colpophyllia natans, Orbicella species complex,    ",4,,,,18.31417,-64.76408,No,AA,,,,,,,,,,,,,,,,,,,2004-12-09,0.59,,,55,0.59,2004-10-15,True,U.S. Virgin Islands
6028,Caribbean,U.S. Virgin Islands,Saint Thomas,Savana,18.34064,-65.08205,13,12,2004,,9,9m,Severe,0.853125,0.853125,-1,,,intercept,,US Virgin Islands Territorial Coral Reef Monitoring Program via Tyler Smith (tsmith@uvi.edu),,"Bleaching represents proportion of colonies bleached or pale; mortality represents proportion of colonies recently killed; Species affected: Colpophyllia natans, Orbicella faveolata, Orbicella annularis, Porites astreoides, Mycetophyllia spp., Diploria strigosa, Diploria labyrinthiformis, Montastraea cavernosa, Siderastrea siderea, Orbicella franksii, Agaricia agaricites, Porites porites, Diploria clivosa,   ",4,,,,18.34064,-65.08205,No,AA,,,,,,,,,,,,,,,,,,,2004-12-13,0.58,,,59,0.58,2004-10-15,True,U.S. Virgin Islands
6029,Caribbean,U.S. Virgin Islands,Saint John,Fish Bay,18.31417,-64.76408,15,12,2004,,6,6m,Severe,0.77,0.77,2,0.141,0.141,intercept,,US Virgin Islands Territorial Coral Reef Monitoring Program via Tyler Smith (tsmith@uvi.edu),,"Bleaching represents proportion of colonies bleached or pale; mortality represents proportion of colonies recently killed; Species affected: Siderastrea siderea, Porites astreoides, Orbicella faveolata, Agaricia agaricites, Montastraea cavernosa, Porites porites, Orbicella annularis, Siderastrea radians, Colpophyllia natans,    ",4,,,,18.31417,-64.76408,No,AAA,,,,,,,,,,,,,,,,,,,2004-12-15,0.59,,,61,0.59,2004-10-15,False,U.S. Virgin Islands
6031,Caribbean,U.S. Virgin Islands,Saint Thomas,Botany Bay,18.35845,-65.0333,16,12,2004,,8,8m,Moderate,0.4973684210526316,0.4973684210526316,-1,,,intercept,,US Virgin Islands Territorial Coral Reef Monitoring Program via Tyler Smith (tsmith@uvi.edu),,"Bleaching represents proportion of colonies bleached or pale; mortality represents proportion of colonies recently killed; Species affected: Siderastrea siderea, Orbicella faveolata, Porites astreoides, Orbicella franksii, Solenastrea bournoni, Agaricia agaricites, Porites porites, Orbicella annularis, Diploria clivosa, Millepora alcicornis, Mycetophyllia spp., Montastraea cavernosa,   ",4,,,,18.35845,-65.0333,No,AA,,,,,,,,,,,,,,,,,,,2004-12-16,0.15,,,62,0.15,2004-10-15,True,U.S. Virgin Islands
6111,Pacific Ocean,United States,Maui,MAI-01,20.7623,-155.9798,25,2,2005,,,,None,0.0,0,-1,,,2 by 50 Belt transect,,Jamie M. Caldwell,,,5,,,,20.7623,-155.9798,No,AA,,,,,,,,,,,,,,,,,,,2005-02-25,0.0,,,0,0.0,2005-02-25,True,US_Hawaii
6112,Pacific Ocean,United States,Maui,MAI-03,20.6235,-156.1782,26,2,2005,,,,None,0.0,0,-1,,,1 by 25 Belt transect,,Jamie M. Caldwell,,,5,,,,20.62,-156.1417,Yes,AA,,,,,,,,,,,,,,,,,,,2005-02-26,0.0,,,0,0.0,2005-02-26,True,US_Hawaii
6113,Pacific Ocean,United States,Hawaii,HAW-03,19.8639,-155.0868,27,2,2005,,,,None,0.0,0,-1,,,1 by 50 Belt transect,,Jamie M. Caldwell,,,5,,,,19.8639,-155.0868,No,AA,,,,,,,,,,,,,,,,,,,2005-02-27,0.0,,,0,0.0,2005-02-27,True,US_Hawaii
6114,Pacific Ocean,United States,Hawaii,HAW-02,19.8423,-155.0828,27,2,2005,,,,None,0.0,0,-1,,,1 by 50 Belt transect,,Jamie M. Caldwell,,,5,,,,19.8423,-155.0828,No,AA,,,,,,,,,,,,,,,,,,,2005-02-27,0.0,,,0,0.0,2005-02-27,True,US_Hawaii
6117,Pacific Ocean,United States,Hawaii,HAW-04,20.2401,-155.8947,28,2,2005,,,,None,0.0,0,-1,,,1 by 25 Belt transect,,Jamie M. Caldwell,,,5,,,,20.2401,-155.8947,No,AA,,,,,,,,,,,,,,,,,,,2005-02-28,0.0,,,0,0.0,2005-02-28,True,US_Hawaii
6115,Pacific Ocean,United States,Hawaii,HAW-05,20.212,-155.9039,28,2,2005,,,,None,0.0,0,-1,,,1 by 25 Belt transect,,Jamie M. Caldwell,,,5,,,,20.212,-155.9039,No,AA,,,,,,,,,,,,,,,,,,,2005-02-28,0.0,,,0,0.0,2005-02-28,True,US_Hawaii
6116,Pacific Ocean,United States,Hawaii,HAW-06,20.1915,-155.9036,28,2,2005,,,,None,0.0,0,-1,,,1 by 25 Belt transect,,Jamie M. Caldwell,,,5,,,,20.1915,-155.9036,No,AA,,,,,,,,,,,,,,,,,,,2005-02-28,0.0,,,0,0.0,2005-02-28,True,US_Hawaii
6234,Pacific Ocean,United States,Hawaii,HAW-09,19.394,-154.9274,1,3,2005,,,,None,0.0,0,-1,,,1 by 50 Belt transect,,Jamie M. Caldwell,,,5,,,,19.394,-154.9274,No,AA,,,,,,,,,,,,,,,,,,,2005-03-01,0.0,,,0,0.0,2005-03-01,True,US_Hawaii
6235,Pacific Ocean,United States,Hawaii,HAW-07,19.4856,-154.8178,1,3,2005,,,,None,0.0,0,-1,,,1 by 50 Belt transect,,Jamie M. Caldwell,,,5,,,,19.4856,-154.8178,No,AA,,,,,,,,,,,,,,,,,,,2005-03-01,0.0,,,0,0.0,2005-03-01,True,US_Hawaii
6236,Pacific Ocean,United States,Hawaii,HAW-10,19.2533,-155.197,2,3,2005,,,,None,0.0,0,-1,,,1 by 50 Belt transect,,Jamie M. Caldwell,,,5,,,,19.2996,-155.084,Yes,AA,,,,,,,,,,,,,,,,,,,2005-03-02,0.0,,,0,0.0,2005-03-02,True,US_Hawaii
6237,Pacific Ocean,United States,Hawaii,HAW-12,18.965417,-155.6182,3,3,2005,,,,None,0.002742230347349177,0.002742230347349177,-1,,,6 by 25 Belt transect,,Jamie M. Caldwell,,Affected species: Montipora capitata,5,,,,18.965417,-155.6182,No,AA,,,,,,,,,,,,,,,,,,,2005-03-03,0.0,,,0,0.0,2005-03-03,True,US_Hawaii
6238,Pacific Ocean,United States,Hawaii,HAW-13,18.922033,-155.684483,3,3,2005,,,,None,0.0,0,-1,,,1 by 50 Belt transect,,Jamie M. Caldwell,,,5,,,,18.922033,-155.684483,No,AA,,,,,,,,,,,,,,,,,,,2005-03-03,0.0,,,0,0.0,2005-03-03,True,US_Hawaii
6240,Pacific Ocean,United States,Hawaii,HAW-16,19.1339,-155.501,4,3,2005,,,,None,0.0,0,-1,,,1 by 50 Belt transect,,Jamie M. Caldwell,,,5,,,,19.1339,-155.501,No,AA,,,,,,,,,,,,,,,,,,,2005-03-04,0.0,,,0,0.0,2005-03-04,True,US_Hawaii
6239,Pacific Ocean,United States,Hawaii,HAW-17,19.0755,-155.5525,4,3,2005,,,,None,0.0,0,-1,,,1 by 50 Belt transect,,Jamie M. Caldwell,,,5,,,,19.084555,-155.542754,Yes,AA,,,,,,,,,,,,,,,,,,,2005-03-04,0.0,,,0,0.0,2005-03-04,True,US_Hawaii
6242,Pacific Ocean,United States,Hawaii,HAW-18,19.5475,-154.8508,5,3,2005,,,,None,0.0,0,-1,,,1 by 50 Belt transect,,Jamie M. Caldwell,,,5,,,,19.5475,-154.8508,No,AA,,,,,,,,,,,,,,,,,,,2005-03-05,0.0,,,0,0.0,2005-03-05,True,US_Hawaii
6241,Pacific Ocean,United States,Hawaii,HAW-19,19.6629,-154.9731,5,3,2005,,,,None,0.0,0,-1,,,1 by 50 Belt transect,,Jamie M. Caldwell,,,5,,,,19.6629,-154.9731,No,AA,,,,,,,,,,,,,,,,,,,2005-03-05,0.0,,,0,0.0,2005-03-05,True,US_Hawaii
6908,Pacific Ocean,United States,Oahu,OAH-02,21.5614,-158.2616,14,7,2005,,,,None,0.004866180048661801,0.004866180048661801,-1,,,6 by 50 Belt transect,,Jamie M. Caldwell,,Affected species: Montipora capitata,5,,,,21.5614,-158.2616,No,AA,,,,,,,,,,,,,,,,,,,2005-07-14,0.0,,,0,0.0,2005-07-14,True,US_Hawaii
6910,Pacific Ocean,United States,"Kauai, Hawaii",KAU-02,22.1642,-159.298933,15,7,2005,,,,None,0.004427227448810182,0.004427227448810182,-1,,,6 by 50 Belt transect,,Jamie M. Caldwell,,"Affected species: Montipora capitata, Pocillopora meandrina, Porites lobata",5,,,,22.1642,-159.298933,No,AA,,,,,,,,,,,,,,,,,,,2005-07-15,0.0,,,0,0.0,2005-07-15,True,US_Hawaii
6912,Pacific Ocean,United States,"Kauai, Hawaii",KAU-05,21.8689,-159.4472,16,7,2005,,,,None,0.00597609561752988,0.00597609561752988,-1,,,6 by 37 Belt transect,,Jamie M. Caldwell,,Affected species: Montipora capitata,5,,,,21.8689,-159.4472,No,AA,,,,,,,,,,,,,,,,,,,2005-07-16,0.0,,,0,0.0,2005-07-16,True,US_Hawaii
6913,Pacific Ocean,United States,"Kauai, Hawaii",KAU-06,21.8897,-159.6088,16,7,2005,,,,None,0.002935420743639922,0.002935420743639922,-1,,,6 by 50 Belt transect,,Jamie M. Caldwell,,"Affected species: Montipora capitata, Pocillopora eydouxi, Porites lobata",5,,,,21.8897,-159.6088,No,AA,,,,,,,,,,,,,,,,,,,2005-07-16,0.0,,,0,0.0,2005-07-16,True,US_Hawaii
6914,Pacific Ocean,United States,Niihau,NII-01,21.952,-160.0624,17,7,2005,,,,None,0.001146788990825688,0.001146788990825688,-1,,,6 by 50 Belt transect,,Jamie M. Caldwell,,Affected species: Porites lobata,5,,,,21.952,-160.0624,No,AA,,,,,,,,,,,,,,,,,,,2005-07-17,0.0,,,0,0.0,2005-07-17,True,US_Hawaii
6915,Pacific Ocean,United States,Niihau,NII-03,21.8167,-160.1859,17,7,2005,,,,None,0.0,0,-1,,,1 by 25 Belt transect,,Jamie M. Caldwell,,,5,,,,21.8167,-160.1859,No,AA,,,,,,,,,,,,,,,,,,,2005-07-17,0.0,,,0,0.0,2005-07-17,True,US_Hawaii
6916,Pacific Ocean,United States,Niihau,NII-02,21.8753,-160.1224,17,7,2005,,,,None,0.0,0,-1,,,1 by 25 Belt transect,,Jamie M. Caldwell,,,5,,,,21.8753,-160.1224,No,AA,,,,,,,,,,,,,,,,,,,2005-07-17,0.0,,,0,0.0,2005-07-17,True,US_Hawaii
6917,Pacific Ocean,United States,Lehua,LEH-01,22.0165,-160.0914,18,7,2005,,,,None,0.003007518796992481,0.003007518796992481,-1,,,6 by 50 Belt transect,,Jamie M. Caldwell,,Affected species: Montipora capitata,5,,,,22.0165,-160.0914,No,AA,,,,,,,,,,,,,,,,,,,2005-07-18,0.0,,,0,0.0,2005-07-18,True,US_Hawaii
6918,Pacific Ocean,United States,Lehua,LEH-02,22.0216,-160.0939,18,7,2005,,,,None,0.001934235976789168,0.001934235976789168,-1,,,6 by 50 Belt transect,,Jamie M. Caldwell,,Affected species: Montipora capitata,5,,,,22.0216,-160.0939,No,AA,,,,,,,,,,,,,,,,,,,2005-07-18,0.0,,,0,0.0,2005-07-18,True,US_Hawaii
6919,Pacific Ocean,United States,Lehua,LEH-03,22.0213,-160.1016,18,7,2005,,,,None,0.0,0,-1,,,1 by 25 Belt transect,,Jamie M. Caldwell,,,5,,,,22.0213,-160.1016,No,AA,,,,,,,,,,,,,,,,,,,2005-07-18,0.0,,,0,0.0,2005-07-18,True,US_Hawaii
6922,Pacific Ocean,United States,Niihau,NII-04,21.990383,-160.124833,19,7,2005,,,,None,0.001239157372986369,0.001239157372986369,-1,,,6 by 50 Belt transect,,Jamie M. Caldwell,,Affected species: Montipora capitata,5,,,,21.990383,-160.124833,No,AA,,,,,,,,,,,,,,,,,,,2005-07-19,0.0,,,0,0.0,2005-07-19,True,US_Hawaii
6921,Pacific Ocean,United States,Niihau,NII-06,21.813,-160.2503,19,7,2005,,,,None,0.002785515320334262,0.002785515320334262,-1,,,6 by 50 Belt transect,,Jamie M. Caldwell,,Affected species: Montipora capitata,5,,,,21.813,-160.2503,No,AA,,,,,,,,,,,,,,,,,,,2005-07-19,0.0,,,0,0.0,2005-07-19,True,US_Hawaii
6923,Pacific Ocean,United States,"Kauai, Hawaii",KAU-09,22.1125,-159.7469,20,7,2005,,,,None,0.005535055350553505,0.005535055350553505,-1,,,6 by 50 Belt transect,,Jamie M. Caldwell,,"Affected species: Montipora capitata, Porites lobata",5,,,,22.1125,-159.7469,No,AA,,,,,,,,,,,,,,,,,,,2005-07-20,0.0,,,0,0.0,2005-07-20,True,US_Hawaii
6924,Pacific Ocean,United States,"Kauai, Hawaii",KAU-08,22.1669,-159.6802,20,7,2005,,,,None,0.001243008079552517,0.001243008079552517,-1,,,6 by 50 Belt transect,,Jamie M. Caldwell,,"Affected species: Montipora capitata, Porites lobata",5,,,,22.1669,-159.6802,No,AA,,,,,,,,,,,,,,,,,,,2005-07-20,0.0,,,0,0.0,2005-07-20,True,US_Hawaii
6928,Pacific Ocean,United States,"Kauai, Hawaii",KAU-12,21.9304,-159.6595,21,7,2005,,,,None,0.002369668246445498,0.002369668246445498,-1,,,6 by 50 Belt transect,,Jamie M. Caldwell,,"Affected species: Montipora capitata, Pocillopora meandrina, Porites lobata",5,,,,21.9304,-159.6595,No,AA,,,,,,,,,,,,,,,,,,,2005-07-21,0.0,,,0,0.0,2005-07-21,True,US_Hawaii
6927,Pacific Ocean,United States,"Kauai, Hawaii",KAU-11,21.9526,-159.7152,21,7,2005,,,,None,0.004444444444444444,0.004444444444444444,-1,,,6 by 50 Belt transect,,Jamie M. Caldwell,,Affected species: Montipora capitata,5,,,,21.9526,-159.7152,No,AA,,,,,,,,,,,,,,,,,,,2005-07-21,0.0,,,0,0.0,2005-07-21,True,US_Hawaii
6930,Pacific Ocean,United States,Oahu,OAH-04,21.5337,-158.2333,22,7,2005,,,,None,0.001436781609195402,0.001436781609195402,-1,,,6 by 50 Belt transect,,Jamie M. Caldwell,,Affected species: Montipora capitata,5,,,,21.557504,-158.254227,Yes,AA,,,,,,,,,,,,,,,,,,,2005-07-22,0.0,,,0,0.0,2005-07-22,True,US_Hawaii
6931,Pacific Ocean,United States,Oahu,OAH-03,21.5912,-158.2095,22,7,2005,,,,None,0.001377410468319559,0.001377410468319559,-1,,,6 by 28 Belt transect,,Jamie M. Caldwell,,Affected species: Montipora capitata,5,,,,21.5912,-158.2095,No,AA,,,,,,,,,,,,,,,,,,,2005-07-22,0.0,,,0,0.0,2005-07-22,True,US_Hawaii
6929,Pacific Ocean,United States,Oahu,OAH-05,21.4599,-158.2178,22,7,2005,,,,None,0.003322259136212625,0.003322259136212625,-1,,,6 by 50 Belt transect,,Jamie M. Caldwell,,Affected species: Montipora capitata,5,,,,21.4599,-158.2178,No,AA,,,,,,,,,,,,,,,,,,,2005-07-22,0.0,,,0,0.0,2005-07-22,True,US_Hawaii
6932,Pacific Ocean,United States,Oahu,OAH-08,21.6852,-158.0468,23,7,2005,,,,None,0.004716981132075472,0.004716981132075472,-1,,,6 by 50 Belt transect,,Jamie M. Caldwell,,Affected species: Montipora capitata,5,,,,21.6852,-158.0468,No,AA,,,,,,,,,,,,,,,,,,,2005-07-23,0.0,,,0,0.0,2005-07-23,True,US_Hawaii
6933,Pacific Ocean,United States,Oahu,OAH-07,21.5925,-157.8711,23,7,2005,,,,None,0.002881844380403458,0.002881844380403458,-1,,,6 by 50 Belt transect,,Jamie M. Caldwell,,Affected species: Montipora capitata,5,,,,21.5925,-157.8711,No,AA,,,,,,,,,,,,,,,,,,,2005-07-23,0.0,,,0,0.0,2005-07-23,True,US_Hawaii
6934,Pacific Ocean,United States,Oahu,OAH-06,21.5331,-157.8205,23,7,2005,,,,None,0.002267573696145125,0.002267573696145125,-1,,,6 by 50 Belt transect,,Jamie M. Caldwell,,Affected species: Montipora capitata,5,,,,21.5331,-157.8205,No,AA,,,,,,,,,,,,,,,,,,,2005-07-23,0.0,,,0,0.0,2005-07-23,True,US_Hawaii
6935,Pacific Ocean,United States,Oahu,OAH-10,21.6121,-158.1113,24,7,2005,,,,None,0.001811594202898551,0.001811594202898551,-1,,,6 by 50 Belt transect,,Jamie M. Caldwell,,"Affected species: Montipora capitata, Montipora patula",5,,,,21.6121,-158.1113,No,AA,,,,,,,,,,,,,,,,,,,2005-07-24,0.0,,,0,0.0,2005-07-24,True,US_Hawaii
6936,Pacific Ocean,United States,Oahu,OAH-11,21.5904,-158.1512,24,7,2005,,,,None,0.001344086021505376,0.001344086021505376,-1,,,6 by 50 Belt transect,,Jamie M. Caldwell,,Affected species: Montipora capitata,5,,,,21.5904,-158.1512,No,AA,,,,,,,,,,,,,,,,,,,2005-07-24,0.0,,,0,0.0,2005-07-24,True,US_Hawaii
6937,Pacific Ocean,United States,Oahu,OAH-09,21.6965,-158.0376,24,7,2005,,,,None,0.0,0,-1,,,1 by 25 Belt transect,,Jamie M. Caldwell,,,5,,,,21.6965,-158.0376,No,AA,,,,,,,,,,,,,,,,,,,2005-07-24,0.0,,,0,0.0,2005-07-24,True,US_Hawaii
6938,Pacific Ocean,United States,Molokai,MOL-01,21.2032,-157.2528,31,7,2005,,,,None,0.0,0,-1,,,1 by 25 Belt transect,,Jamie M. Caldwell,,,5,,,,21.2032,-157.2528,No,AA,,,,,,,,,,,,,,,,,,,2005-07-31,0.0,,,0,0.0,2005-07-31,True,US_Hawaii
7072,Pacific Ocean,United States,Molokai,MOL-02,21.1249,-157.3032,1,8,2005,,,,None,0.0,0,-1,,,1 by 25 Belt transect,,Jamie M. Caldwell,,,5,,,,21.1249,-157.3032,No,AA,,,,,,,,,,,,,,,,,,,2005-08-01,0.0,,,0,0.0,2005-08-01,True,US_Hawaii
7073,Pacific Ocean,United States,Lanai,LAN-01,20.9136,-157.0547,2,8,2005,,,,None,0.0,0,-1,,,1 by 25 Belt transect,,Jamie M. Caldwell,,,5,,,,20.9136,-157.0547,No,AA,,,,,,,,,,,,,,,,,,,2005-08-02,0.0,,,0,0.0,2005-08-02,True,US_Hawaii
7074,Pacific Ocean,United States,Lanai,LAN-02,20.8669,-157.0435,2,8,2005,,,,None,0.0,0,-1,,,1 by 25 Belt transect,,Jamie M. Caldwell,,,5,,,,20.8669,-157.0435,No,AA,,,,,,,,,,,,,,,,,,,2005-08-02,0.0,,,0,0.0,2005-08-02,True,US_Hawaii
7075,Pacific Ocean,United States,Maui,MAI-04,20.5791,-156.4042,4,8,2005,,,,None,0.0,0,-1,,,1 by 25 Belt transect,,Jamie M. Caldwell,,,5,,,,20.5791,-156.4042,No,AA,,,,,,,,,,,,,,,,,,,2005-08-04,0.0,,,0,0.0,2005-08-04,True,US_Hawaii
7076,Pacific Ocean,United States,Maui,MAI-08,20.832,-156.6481,5,8,2005,,,,None,0.0,0,-1,,,1 by 25 Belt transect,,Jamie M. Caldwell,,,5,,,,20.83106232,-156.6750076,Yes,AA,,,,,,,,,,,,,,,,,,,2005-08-05,0.0,,,0,0.0,2005-08-05,True,US_Hawaii
